method,seed,query,ro,parent_r2,child_r2
BIF-UCB (hot),9049607,0,0.9003286011914383,0.0014102695893958817,0.12845313063013722
BIF-UCB (hot),9049607,1,0.9871147531406382,5.825102078762118e-05,0.20732961922624946
BIF-UCB (hot),9049607,2,0.878697415781133,0.003833006474703084,0.3894792509163146
BIF-UCB (hot),9049607,3,0.9871147531406382,0.005281185596026675,0.5081101873125022
BIF-UCB (hot),9049607,4,0.9871147531406382,0.07536418997962706,0.5292617921083625
BIF-UCB (hot),9049607,5,0.8982603383320003,0.1685240479967363,0.384959368062201
BIF-UCB (hot),9049607,6,0.8874157747424267,0.18871344443005028,0.401088067017235
BIF-UCB (hot),9049607,7,0.8943339314081293,0.1960653869417575,0.3203444881339989
BIF-UCB (hot),9049607,8,0.8943339314081293,0.3196278763126663,0.4589779063008318
BIF-UCB (hot),9049607,9,0.8943339314081293,0.34525901512594115,0.30847404424621716
BIF-UCB (hot),9049607,10,0.8943339314081293,0.3357214367762692,0.3150295118238079
BIF-UCB (hot),9049607,11,0.8943339314081293,0.4045515879918873,0.3224713047270396
BIF-UCB (hot),9049607,12,0.8793148178138773,0.42009074521316087,0.5170818042915122
BIF-UCB (hot),9049607,13,0.8793148178138773,0.4366925428039953,0.6455866746889816
BIF-UCB (hot),9049607,14,0.9027901943994274,0.4434102925712397,0.583328777573698
BIF-UCB (hot),9049607,15,0.8815589829366284,0.4485430870085119,0.4617104207434062
BIF-UCB (hot),9049607,16,0.9017386152013106,0.4553120707295882,0.4029893729512255
BIF-UCB (hot),9049607,17,0.9017386152013106,0.4634159593062435,0.4891959285342407
BIF-UCB (hot),9049607,18,0.9103491321755595,0.4697194218376176,0.49233850116880273
BIF-UCB (hot),9049607,19,0.9103491321755595,0.4915621542297588,0.5342646132346217
BIF-UCB (hot),2402697,0,0.6662013040838882,0.026867259880074726,0.4784746056564898
BIF-UCB (hot),2402697,1,0.8849716359597481,0.0443396021944705,0.4527586438570985
BIF-UCB (hot),2402697,2,0.8849716359597481,0.047568237972079326,0.3389724076341273
BIF-UCB (hot),2402697,3,0.9232668447985519,0.05937043311406147,0.4732316488777468
BIF-UCB (hot),2402697,4,0.9232668447985519,0.11346816118934788,0.47023986396730055
BIF-UCB (hot),2402697,5,0.8989950218541121,0.2610611812676722,0.4412925279724488
BIF-UCB (hot),2402697,6,0.8989950218541121,0.3628429349330779,0.38007057132849476
BIF-UCB (hot),2402697,7,0.8989950218541121,0.39051930236631016,0.42167242033658925
BIF-UCB (hot),2402697,8,0.90166741286221,0.4196049263652534,0.43798816601829654
BIF-UCB (hot),2402697,9,0.8910748400490311,0.408204625388757,0.3700133439101763
BIF-UCB (hot),2402697,10,0.9207298553964104,0.4262848218344669,0.45905430029431
BIF-UCB (hot),2402697,11,0.9207298553964104,0.46036078962967686,0.48275207877721615
BIF-UCB (hot),2402697,12,0.9228853637547502,0.489023115739657,0.47872694774602853
BIF-UCB (hot),2402697,13,0.9228853637547502,0.5504292486918356,0.5181855610763597
BIF-UCB (hot),2402697,14,0.90166741286221,0.5498022494910407,0.5727683043309423
